# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
#  
# Start date: 20220129
# End date: 20230129
Nth week,Average engagement time
0020,77.12250217202433
0021,80.74922440537746
0022,91.5476902625457
0023,82.73325892857143
0024,92.70321963659548
0025,85.21554291903601
0026,83.02091254752851
0027,80.93225704336815
0028,77.12590879048248
0029,75.85654648956357
0030,83.52683689421573
0031,73.67826345524828
0032,91.83457578984735
0033,81.2101083032491
0034,83.11678403755869
0035,47.353135313531354
0036,88.01077254539858
0037,87.72196738022426
0038,99.04173253240594
0039,91.3238912732475
0040,74.79533116178067
0041,87.02532061821769
0042,91.1104112634309
0043,89.5043630017452
0044,82.4771812080537
0045,86.9534338358459
0046,86.79985754985755
0047,77.81945945945947
0048,70.58045112781954
0049,90.75827577994761
0050,88.6331285202253
0051,78.27896774193549
0052,88.07674418604651
0053,93.60221870047543

# Start date: 20220129
# End date: 20230129
Nth week,Engaged sessions per user
0020,0.9009556907037359
0021,0.8942605997931747
0022,0.902625456962446
0023,0.916015625
0024,0.9340133885878228
0025,0.8854589764419172
0026,0.8938529784537389
0027,0.8774928774928775
0028,0.770323859881031
0029,0.7388994307400379
0030,0.2303282959874935
0031,0.7615224501932798
0032,0.8207312744053958
0033,0.7989169675090253
0034,0.7758215962441315
0035,0.6899631139584547
0036,0.7827023699599877
0037,0.7882262996941896
0038,0.8570976920644957
0039,0.7882689556509299
0040,0.7793159609120521
0041,0.7971062150608352
0042,0.7873286402371249
0043,0.8055846422338568
0044,0.776510067114094
0045,0.8013400335008375
0046,0.8101851851851852
0047,0.8627027027027027
0048,0.9160902255639097
0049,0.8833055489402238
0050,0.9114183307731695
0051,0.8167741935483871
0052,0.8441860465116279
0053,0.8050713153724247

# Start date: 20220129
# End date: 20230129
Nth week,Average engagement time per session
0020,61.13498622589532
0021,62.30560542589268
0022,67.7822342519685
0023,63.29050160085379
0024,67.56737918215613
0025,66.78713921901527
0026,63.93704245973645
0027,61.66546068499759
0028,60.29010591578403
0029,60.25987337955984
0030,65.18422122814152
0031,58.67392848685768
0032,68.63836561422129
0033,62.15860735009671
0034,64.5243735763098
0035,36.585570721463924
0036,65.06188850967008
0037,68.02786561264823
0038,75.59580115830116
0039,68.86235167206041
0040,57.657668968403435
0041,64.73679060665361
0042,67.87386144079493
0043,67.55268703898841
0044,64.16167768882701
0045,65.00275482093664
0046,65.67879277822689
0047,60.388422818791945
0048,53.61663239661869
0049,70.44251386321626
0050,65.70525716454735
0051,60.93431096826035
0052,67.72441883568449
0053,75.62483994878362

#  


#  
# Start date: 20220129
# End date: 20230129
Nth week,Views
0020,4262
0021,14607
0022,12316
0023,13853
0024,13777
0025,14496
0026,12678
0027,11852
0028,10407
0029,8949
0030,13682
0031,11108
0032,10644
0033,9609
0034,11812
0035,12692
0036,11965
0037,14327
0038,12351
0039,12554
0040,12561
0041,11023
0042,10155
0043,10997
0044,15399
0045,11068
0046,10436
0047,12131
0048,14840
0049,21567
0050,19976
0051,18251
0052,18974
0053,3407

# Start date: 20220129
# End date: 20230129
Nth week,Event count
0020,10760
0021,35482
0022,29778
0023,32838
0024,33031
0025,34682
0026,30948
0027,29862
0028,26527
0029,22403
0030,33085
0031,27560
0032,25540
0033,23725
0034,27974
0035,33649
0036,28964
0037,34463
0038,30033
0039,31160
0040,30396
0041,26897
0042,24795
0043,25960
0044,35858
0045,26698
0046,24965
0047,28906
0048,35660
0049,50856
0050,46983
0051,43097
0052,44325
