# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
#  
# Start date: 20220129
# End date: 20230129
Country ID,Users
Kissimmee,50
Lake Worth,50
Mount Pleasant,50
Murphy,50
Newark,50
Rome,50
Moses Lake,49
New Haven,49
North Miami Beach,49
Owosso,49
Piqua,49
Powhatan,49
Royal Palm Beach,49
Villa Rica,49
Wabash,49
Wilson,49
Canajoharie,48
Knoxville,48
Metter,48
North Vernon,48
Ruskin,48
Springville,48
Titusville,48
Akron,47
Brunswick,47
Cambridge,47
East Liverpool,47
Hudson,47
Orangetree,47
Punta Gorda,47
Batesville,46
Bridgeville,46
Clarksville,46
Clifton,46
Gallipolis,46
Hawkinsville,46
New Castle,46
Park Ridge,46
Shelbyville,46
South Burlington,46
St. Cloud,46
Swansboro,46
Wallace,46
Atlantic City,45
Beckley,45
Copenhagen,45
Morgantown,45
Pinellas Park,45
Reston,45
Richmond Hill,45
Suttons Bay,45
Wesley Chapel,45
Williamston,45
Boydton,44
Clarksburg,44
Coconut Creek,44
Douglas,44
Hillsville,44
Land O' Lakes,44
Lincoln,44
Milan,44
Prineville,44
Saint Paul,44
Salt Lake City,44
Altoona,43
Clermont,43
Concord,43
Deltona,43
Eatonton,43
Hanover,43
Lely Resort,43
North Bergen,43
Pentwater,43
Satellite Beach,43
Fontainebleau,42
Hilton Head Island,42
Ionia,42
Sao Paulo,42
Three Lakes,42
University Park,42
Warrenton,42
Williamsburg,42
Edmonton,41
Hindman,41
Lawton,41
New London,41
Norwich,41
Oranjestad,41
Ormond Beach,41
Rock Hill,41
Rockledge,41
Wildwood,41
Alexandria,40
Carmel Hamlet,40
Eaton Rapids,40
Fremont,40
Galion,40
Hyden,40
Marshall,40
Pooler,40
Port Salerno,40
Providence,40
Union Point,40
Worcester,40
Bedford,39
Clinton Township,39
Honolulu,39
Long Beach,39
Oviedo,39
Riverview,39
Sioux Falls,39
St. Augustine,39
Zurich,39
Aberdeen,38
Boardman,38
Brighton,38
Camden,38
Exmore,38
Gaylord,38
Jensen Beach,38
Monticello,38
Torrington,38
Turner,38
Vero Beach,38
Waynesboro,38
Clayton,37
DeLand,37
Fitchburg,37
Mancelona,37
Monroe,37
Paoli,37
Radford,37
South Venice,37
Versailles,37
Vienna,37
Winter Park,37

#  
# Start date: 20220129
# End date: 20230129
Gender,Users
male,5746
female,5638

#  
# Start date: 20220129
# End date: 20230129
Interests,Users
Banking & Finance/Avid Investors,7329
Travel/Travel Buffs,7080
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,6745
Lifestyles & Hobbies/Business Professionals,6605
Shoppers/Value Shoppers,6593
Beauty & Wellness/Frequently Visits Salons,6162
News & Politics/Avid News Readers,6041
Sports & Fitness/Health & Fitness Buffs,5402
Shoppers/Bargain Hunters,5321
Sports & Fitness/Sports Fans,5246
Lifestyles & Hobbies/Pet Lovers,4825
Lifestyles & Hobbies/Outdoor Enthusiasts,4770
Shoppers/Shopping Enthusiasts,4505
Lifestyles & Hobbies/Shutterbugs,4319
Shoppers/Shoppers by Store Type/Department Store Shoppers,4243
Media & Entertainment/TV Lovers,4218
Lifestyles & Hobbies/Family-Focused,4211
Travel/Business Travelers,4161
Home & Garden/Do-It-Yourselfers,4138
Vehicles & Transportation/Auto Enthusiasts,4125
Technology/Technophiles,4029
Food & Dining/Foodies,4008
Media & Entertainment/Movie Lovers,3975
Lifestyles & Hobbies/Fashionistas,3916
Travel/Travel Buffs/Beachbound Travelers,3883
News & Politics/Avid News Readers/Entertainment News Enthusiasts,3878
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,3790
Food & Dining/Fast Food Cravers,3697
Beauty & Wellness/Beauty Mavens,3603
Shoppers/Luxury Shoppers,3490
Home & Garden/Home Decor Enthusiasts,3293
Lifestyles & Hobbies/Frequently Attends Live Events,3192
Media & Entertainment/Book Lovers,3128
Lifestyles & Hobbies/Art & Theater Aficionados,3091
Media & Entertainment/Music Lovers,3075
Lifestyles & Hobbies/Green Living Enthusiasts,2799
News & Politics/Avid News Readers/Avid Political News Readers,2790
Sports & Fitness/Sports Fans/Fans of American Football,2767
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,2585
News & Politics/Avid News Readers/Avid Business News Readers,2528
Travel/Travel Buffs/Luxury Travelers,2279
Food & Dining/Coffee Shop Regulars,2185
News & Politics/Avid News Readers/Avid Local News Readers,1987
Technology/Mobile Enthusiasts,1937
Food & Dining/Cooking Enthusiasts,1824
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,1685
Lifestyles & Hobbies/Nightlife Enthusiasts,1548
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",1527
Travel/Travel Buffs/Family Vacationers,1501
Media & Entertainment/Comics & Animation Fans,1481
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,1424
Sports & Fitness/Sports Fans/Basketball Fans,1204
Sports & Fitness/Sports Fans/Baseball Fans,1078
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,1074
Media & Entertainment/TV Lovers/TV Drama Fans,1074
Technology/Social Media Enthusiasts,1002
Sports & Fitness/Sports Fans/Soccer Fans,978
Lifestyles & Hobbies/Thrill Seekers,964
Media & Entertainment/Light TV Viewers,955
Media & Entertainment/Music Lovers/Pop Music Fans,937
Lifestyles & Hobbies/Pet Lovers/Dog Lovers,926
Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,907
Vehicles & Transportation/Auto Enthusiasts/Truck & SUV Enthusiasts,869
Sports & Fitness/Sports Fans/Boating & Sailing Enthusiasts,849
Media & Entertainment/Gamers,834
Media & Entertainment/Music Lovers/Rock Music Fans,787
Media & Entertainment/TV Lovers/TV Comedy Fans,762
Sports & Fitness/Sports Fans/Golf Enthusiasts,677
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,653
