# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# 
# Start date: 20220129
# End date: 20230129
Nth day,page_view,user_engagement,session_start,first_visit,scroll
0200,1245,563,491,349,302
0201,1177,536,432,313,320
0202,1038,442,366,261,251
0203,1087,422,425,332,264
0204,1448,602,509,404,365
0205,1500,658,533,387,362
0206,3412,1276,1098,866,715
0207,3107,1199,1205,971,623
0208,1602,687,593,438,344
0209,1428,642,492,334,325
0210,1185,502,420,295,269
0211,1091,510,412,296,290
0212,1464,653,549,405,304
0213,1288,606,461,320,290
0214,1336,555,494,354,309
0215,2908,1030,1188,977,583
0216,1643,655,580,405,323
0217,1378,515,545,412,307
0218,1620,624,602,442,359
0219,1658,659,611,458,390
0220,1653,645,605,435,336
0221,1557,639,526,381,359
0222,1642,677,549,350,332
0223,1244,547,440,309,296
0224,1270,476,428,300,298
0225,1301,492,492,378,307
0226,1509,625,539,384,344
0227,1594,737,579,418,369
0228,1319,555,530,366,267
0229,1625,661,569,393,329
0230,1143,481,490,348,280
0231,1118,415,449,334,267
0232,1337,480,498,400,287
0233,1492,640,568,395,367
0234,1493,578,554,410,373
0235,1378,611,506,355,360
0236,3015,817,1163,920,716
0237,1913,655,632,441,457
0238,1184,372,432,308,257
0239,1274,444,482,364,306
0240,1271,539,537,385,309
0241,3520,1461,2344,2011,651
0242,2819,1373,1721,1212,606
0243,1224,543,558,359,293
0244,1191,532,503,339,272
0245,1393,467,473,333,301
0246,1507,552,495,338,324
0247,1442,601,564,378,348
0248,1495,560,587,413,305
0249,2599,1167,871,685,674
0250,2059,857,729,524,466
0251,1444,608,575,428,334
0252,1419,472,486,356,294
0253,1463,508,554,402,287
0254,3196,1556,1051,836,862
0255,2092,920,653,435,497
0256,1786,746,602,423,388
0257,1644,671,636,456,350
0258,1256,617,439,296,350
0259,2890,806,1143,921,598
0260,2959,1216,892,690,738
0261,2081,943,686,504,525
0262,1575,711,581,417,400
0263,1408,657,479,350,367
0264,1661,747,565,412,431
0265,1386,635,497,338,360
0266,1281,500,425,308,328
0267,1371,602,465,327,316
0268,2066,955,697,493,551
0269,1700,761,591,423,440
0270,1806,815,600,432,432
0271,1947,931,641,461,479
0272,2193,808,1013,841,611
0273,1471,652,515,359,419
0274,1798,636,561,403,382
0275,1280,520,517,360,331
0276,1523,638,494,339,342
0277,1580,666,569,410,417
0278,1660,756,601,407,404
0279,1320,619,527,365,333
0280,3400,993,1513,1253,641
0281,1922,745,709,493,432
0282,1767,749,617,437,436
0283,1318,596,523,366,300
0284,1421,599,527,398,324
0285,1541,601,546,385,334
0286,1486,638,556,403,327
0287,1568,661,544,400,379
0288,1738,725,558,413,383
0289,1599,695,591,411,352
0290,1426,671,486,335,344
0291,1403,680,494,368,329
0292,1352,586,471,362,302
0293,1157,474,404,292,292
0294,1480,579,500,356,340
0295,1566,618,538,379,342
0296,1433,596,521,363,327
0297,1286,537,467,323,312
0298,1443,571,484,351,338
0299,1189,466,457,343,255
0300,2174,719,683,493,452
0301,1906,678,593,424,394
0302,1883,704,676,504,427
0303,3900,1141,1457,1143,731
0304,2093,736,761,519,438
0305,2758,948,1090,830,579
0306,1819,671,644,462,390
0307,1415,551,543,362,303
0308,1531,622,551,413,345
0309,1508,616,494,379,296
0310,1806,791,589,425,429
0311,1824,762,622,423,406
0312,1722,722,619,437,388
0313,1647,649,609,447,376
0314,1384,643,536,362,318
0315,1177,466,458,318,249
0316,1626,589,536,397,345
0317,1428,562,568,410,317
0318,1530,617,538,359,346
0319,1811,771,589,411,442
0320,1558,686,535,364,373
0321,1290,488,509,338,304
0322,1193,453,446,336,268
0323,1370,573,484,350,315
0324,1371,593,505,358,298
0325,1550,626,478,353,338
0326,1699,518,452,288,299
0327,2947,787,775,600,453
0328,1797,536,503,348,297
0329,1397,476,396,282,245
0330,1629,481,481,341,309
0331,2914,772,874,694,467
0332,2254,693,656,463,411
0333,2151,710,560,399,432
0334,2167,677,598,422,403
0335,2056,709,543,394,371
0336,1669,610,537,393,305
0337,2359,801,616,466,425
0338,2360,883,640,473,448
0339,3076,937,714,547,471
0340,5263,1904,1258,994,1127
0341,3452,1092,817,605,639
