# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# 
# Start date: 20220129
# End date: 20230129
Nth day,booking_engine_entrances,food_beverage_kpi,purchase,meetings_rfp
0278,156,2,6,1
0279,86,2,2,0
0280,138,7,10,0
0281,121,2,11,0
0282,139,6,11,0
0283,88,4,7,0
0284,96,3,7,0
0285,101,2,8,0
0286,111,2,9,0
0287,125,3,4,1
0288,126,4,9,0
0289,121,4,8,0
0290,110,2,3,0
0291,94,4,4,1
0292,119,4,10,0
0293,76,4,11,0
0294,116,5,2,0
0295,121,10,6,0
0296,107,4,6,0
0297,93,1,7,0
0298,112,7,14,0
0299,85,9,6,0
0300,169,9,9,0
0301,139,3,12,0
0302,130,5,8,0
0303,186,2,22,0
0304,150,2,8,0
0305,145,3,8,0
0306,135,2,10,0
0307,101,1,9,0
0308,112,2,4,0
0309,107,2,3,0
0310,131,3,12,0
0311,167,5,9,0
0312,134,3,10,0
0313,99,2,12,0
0314,99,3,8,0
0315,73,4,6,0
0316,123,1,3,0
0317,104,6,12,0
0318,127,3,13,0
0319,135,3,9,0
0320,102,2,9,0
0321,114,1,6,0
0322,76,4,6,1
0323,126,7,4,0
0324,101,7,5,1
0325,101,4,5,0
0326,91,7,5,0
0327,97,3,9,0
0328,85,8,2,0
0329,66,10,0,0
0330,96,5,3,0
0331,119,4,3,0
0332,138,5,3,0
0333,123,22,3,0
0334,139,16,1,0
0335,118,15,2,0
0336,96,21,1,0
0337,153,9,3,0
0338,130,7,3,0
0339,163,6,6,0
0340,317,1,13,0
0341,238,1,6,1
0342,129,4,1,0
0343,173,5,8,0
0344,205,1,4,1
0345,183,1,9,0
0346,194,3,6,0
0347,179,5,6,0
0348,170,7,4,0
0349,132,2,6,0
0350,183,3,7,0
0351,185,7,4,1
0352,165,3,1,0
0353,127,4,5,0
0354,154,2,2,1
0355,156,4,1,1
0356,168,4,5,0
0357,160,8,2,1
0358,187,5,5,0
0359,156,2,8,0
0360,111,2,4,0
0361,126,2,5,1
0362,177,2,12,0
0363,169,3,8,0
0364,172,4,7,0
0365,199,5,5,0

# All Users
# Start date: 20220129
# End date: 20230129

Event name,Conversions
booking_engine_entrances,27669
food_beverage_kpi,2529
purchase,1426
meetings_rfp,48

# All Users
# Start date: 20220129
# End date: 20230129

Event name,Conversions,Total users,Event revenue
booking_engine_entrances,27669,18279,0
food_beverage_kpi,2529,1810,0
purchase,1426,1259,754727.91
meetings_rfp,48,45,0
