# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# 
# Start date: 20220129
# End date: 20230129
Nth day,Faro Blanco Resort Yacht Club - Reservations - Room Availability,Hotels In Marathon FL | Faro Blanco Resort & Marina,Faro Blanco Resort | Resorts in Marathon FL | Official Website,Faro Blanco Resort Yacht Club - Reservations - Guest Details,Marathon Key Restaurants | Dining | Faro Blanco Resort & Marina
0227,461,0,399,41,0
0228,376,0,375,58,0
0229,470,0,459,81,0
0230,302,0,359,49,0
0231,318,0,355,47,0
0232,420,0,390,68,0
0233,447,0,446,51,0
0234,443,0,385,103,0
0235,378,0,402,71,0
0236,1486,0,508,209,1
0237,789,0,394,115,0
0238,443,0,291,90,0
0239,408,0,350,72,0
0240,309,0,371,49,0
0241,246,0,1039,65,0
0242,262,0,913,50,0
0243,253,0,382,51,0
0244,278,0,390,55,0
0245,458,0,348,97,0
0246,466,0,385,98,0
0247,359,0,387,88,0
0248,429,0,417,119,0
0249,668,0,792,136,0
0250,539,397,199,123,0
0251,397,476,0,73,0
0252,430,465,0,81,0
0253,414,528,0,77,0
0254,765,1010,0,168,0
0255,601,554,0,121,0
0256,472,531,0,90,0
0257,407,506,0,108,0
0258,288,356,0,55,0
0259,1244,552,0,222,0
0260,835,782,0,159,0
0261,613,551,0,112,0
0262,412,472,0,77,0
0263,376,369,0,87,0
0264,415,491,0,86,0
0265,347,386,0,79,0
0266,358,370,0,54,0
0267,351,395,0,72,0
0268,540,584,0,93,0
0269,445,515,0,79,0
0270,523,509,0,99,0
0271,520,541,0,107,0
0272,881,409,0,98,0
0273,441,402,0,76,0
0274,607,443,0,124,0
0275,420,333,0,61,0
0276,457,403,0,80,0
0277,444,423,0,92,0
0278,520,466,0,73,0
0279,341,385,0,57,0
0280,1608,739,0,142,0
0281,623,531,0,111,0
0282,522,492,0,87,0
0283,344,406,0,52,0
0284,380,445,0,63,0
0285,493,430,0,81,0
0286,421,427,0,82,0
0287,436,401,0,66,0
0288,496,439,0,97,0
0289,454,404,0,88,0
0290,399,373,0,79,0
0291,322,436,0,50,0
0292,386,406,0,69,0
0293,340,316,0,59,0
0294,458,423,0,96,0
0295,494,404,0,70,0
0296,423,381,0,76,0
0297,364,344,0,81,0
0298,445,348,0,102,0
0299,359,353,0,62,0
0300,809,443,0,143,0
0301,698,451,0,136,0
0302,683,452,0,93,0
0303,1990,549,0,280,0
0304,914,457,0,122,0
0305,1192,553,0,139,0
0306,660,419,0,106,0
0307,504,344,0,89,0
